바라,43,145
마다,40,154
파아,43,197
라바,69,174
카바,53,191
차파,98,166
나나,78,142
하파,68,180
차다,93,163
아가,99,164
마나,66,142
다차,84,188
마카,82,181
마카,93,195
다라,66,148
하사,92,172
나사,46,173
자마,95,196
가나,56,142
타파,58,199
아나,77,167
라카,49,186
하타,49,177
사하,44,177
나가,49,181
다라,59,159
카마,89,179
다파,95,166
파마,72,149
카사,72,180
바다,59,197
마자,58,176
다아,51,148
다자,94,180
나다,65,147
사마,56,174
카나,48,152
마타,69,190
아마,57,174
카다,66,191
카사,69,172
카다,69,176
다다,85,193
아나,88,140
사라,69,155
나가,92,170
가하,55,172
파카,50,154
아가,89,162
마자,78,178
바하,72,147
타카,48,167
차나,70,164
사타,72,157
나차,94,197
아나,49,175
라나,55,145
가카,63,195
바마,55,182
차차,48,161
바아,74,147
자라,99,169
마아,99,140
자카,71,180
다가,45,191
마카,83,147
사바,46,141
카하,85,198
카가,67,141
차나,48,150
가아,70,160
라마,90,186
아라,82,166
카가,77,159
타타,97,173
아차,70,147
라사,94,165
파사,67,192
하나,71,179
하차,80,185
마타,59,184
나카,66,187
파자,62,196
마사,93,150
다차,85,142
파나,87,176
가라,70,166
다라,53,186
다나,84,188
자카,52,168
사마,56,178
사사,84,141
나나,49,193
가다,90,192
파사,74,168
타카,58,154
라다,61,146
사사,40,146
타하,84,158
다하,64,181
차하,49,183
카사,71,157
카라,43,163
타자,62,162
라아,59,178
나자,46,195
카라,45,164
다자,44,172
바타,40,198
라파,81,191
나바,95,166
하바,78,161
바사,65,195
바자,81,172
나사,99,153
아자,43,177
가바,83,164
차아,84,181
바차,81,176
카마,76,147
사나,67,168
가파,56,153
아하,67,172
아파,46,192
자파,95,151
나다,40,140
하라,91,188
아차,66,165
아아,95,167
사타,62,144
하타,96,195
아타,66,186
아다,53,159
카차,63,178
차바,41,176
라자,40,173
아다,58,199
나라,75,188
아가,56,146
아카,98,149
차바,84,142
나가,69,140
가마,96,151
타마,60,154
라파,85,145
아사,95,183
차사,86,150
다하,87,187
다라,89,155
나파,85,187
마하,54,148
차차,50,187
다가,88,193
가마,64,185
가파,63,184
가자,97,187
카나,53,143
라자,44,148
자카,62,195
차차,48,181
타하,51,141
사바,51,183
차가,75,186
나다,67,197
가하,55,166
자사,95,141
마나,74,141
마다,46,140
하타,63,167
아타,77,153
파사,49,152
카아,85,161
다마,85,160
하아,85,174
사하,53,172
다바,45,190
나자,90,156
타마,54,165
다타,59,146
사카,58,155
자하,74,168
바가,63,158
라차,58,191
라가,55,148
다하,70,153
다바,54,155
라가,63,158
나하,59,167
바마,66,161
자나,63,186
아카,89,146
마자,43,148
타타,45,179
사마,80,144
아바,70,169
하자,53,171
나아,43,195
차다,93,167
다마,69,155
나타,81,166
다바,48,162
하라,54,167
